article_url,categories,content,publish_date,scraped_at,sources_url,sources_wiki_page_url,title
https://en.wikinews.org/wiki/B.C._elections_debate_fiery_but_not_conclusive,"Archived,May 3, 2005,Politics and conflicts,Elections,North America,Canada,British Columbia,Published",,"May 3, 2005",2020-04-12,"http://www.theglobeandmail.com/servlet/ArticleNews/TPStory/LAC/20050502/BCELECTION02/TPNational/Canada,http://www.canada.com/vancouver/vancouversun/news/story.html?id=3fb78d82-f776-4671-82c7-85609bec4ee4","https://en.wikipedia.org/wiki/Globe_and_Mail,https://en.wikipedia.org/wiki/Vancouver_Sun",B.C. elections debate fiery but not conclusive
https://en.wikinews.org/wiki/Cabinet_Minister_resigns_after_boycott_in_Grenada,"November 23, 2010,Grenada,Published,Archived,Politics and conflicts,Caribbean,North America",,"November 23, 2010",2020-04-12,"http://www.caribbeanworldnews.com/middle_top_news_detail.php?mid=4170,http://www.caribbean360.com/index.php/news/grenada_news/50428.html","https://en.wikipedia.org/wiki/Caribbean_World_News,https://en.wikipedia.org/wiki/Caribbean_360",Cabinet Minister resigns after boycott in Grenada
https://en.wikinews.org/wiki/I%27m_staying_for_at_least_a_year:_British_PM_Tony_Blair,"August 6, 2006,Published,AutoArchived,United Kingdom,Europe,Politics and conflicts,Tony Blair,Gordon Brown",,"August 6, 2006",2020-04-12,"http://www.telegraph.co.uk/news/main.jhtml?xml=/news/2006/08/06/nblair06.xml,http://www.ananova.com/news/story/sm_1943507.html?menu=news,http://www.cnn.com/2006/WORLD/meast/08/06/uk.blair.reut/index.html","https://en.wikipedia.org/wiki/The_Sunday_Telegraph,https://en.wikipedia.org/wiki/Ananova,/wiki/CNN",I'm staying for at least a year: British PM Tony Blair
https://en.wikinews.org/wiki/Hackers_attack_Islamic_Republic_of_Iran_Broadcasting_website,"June 19, 2009,Original reporting,Published,Archived,Asia,Iran,Politics and conflicts",,"June 19, 2009",2020-04-12,"http://95.211.92.83/banned.html,http://www.shabgard.org/forums/showthread.php?s=1a3fc8d2059c24986a6c365a9d953dec&p=116587#post116587,http://www.iribnews.ir/userfiles/index.html","https://en.wikipedia.org/wiki/Unknown,https://en.wikipedia.org/wiki/Shabgard.org,https://en.wikipedia.org/wiki/IRIB",Hackers attack Islamic Republic of Iran Broadcasting website
https://en.wikinews.org/wiki/G20_protests:_Inside_a_labour_march,"April 3, 2009,Original reporting,Published,Archived,Labor,Politics and conflicts,Interview,United Kingdom,Europe,London,Metropolitan Police,Cardiff, Wales,Ogaden,Museums,Nuclear weapons,British National Party,National Union of Rail, Maritime and Transport Workers,Bank of England",,"April 3, 2009",2020-04-12,http://socialistworker.co.uk/art.php?id=17540,https://en.wikipedia.org/wiki/Socialist_Worker,G20 protests: Inside a labour march
https://en.wikinews.org/wiki/E-Passport_cloned_in_five_minutes,"December 18, 2006,Published,Archived,Crime and law,Politics and conflicts,Science and technology,Europe,United Kingdom,Turkey,Asia,Computing",,"December 18, 2006",2020-04-12,"http://news.bbc.co.uk/2/hi/programmes/click_online/6182207.stm,http://yro.slashdot.org/article.pl?sid=06/12/17/227247&from=rss","/wiki/BBC_News_Online,https://en.wikipedia.org/wiki/Slashdot",E-Passport cloned in five minutes
https://en.wikinews.org/wiki/Face-off_at_Islamabad_Mosque,"July 8, 2007,Published,Archived,Pakistan,Asia,Politics and conflicts,Crime and law,Islam,Islamabad Capital Territory,Islamabad",,"July 8, 2007",2020-04-12,"http://news.bbc.co.uk/1/hi/world/south_asia/6282084.stm,http://english.aljazeera.net/NR/exeres/81360221-21F1-4EC9-A84E-7EC4215D26AB.htm,http://www.cbc.ca/world/story/2007/07/08/pakistan-mosque.html,http://www.guardian.co.uk/commentisfree/story/0,,2120968,00.html","/wiki/BBC_News_Online,https://en.wikipedia.org/wiki/Al_Jazeera_and_agencies,/wiki/CBC_News,https://en.wikipedia.org/wiki/Guardian_Online",Face-off at Islamabad Mosque
https://en.wikinews.org/wiki/Dalai_Lama_begins_trip_to_Taiwan,"August 30, 2009,Published,Archived,Asia,Religion,Taiwan,Tenzin Gyatso, 14th Dalai Lama,China,Buddhism,Politics and conflicts",,"August 30, 2009",2020-04-12,"http://news.bbc.co.uk/1/hi/world/asia-pacific/8229613.stm,http://www.etaiwannews.com/etn/news_content.php?id=1044768&lang=eng_news&cate_img=83.jpg&cate_rss=news_Politics","/wiki/BBC_News_Online,https://en.wikipedia.org/wiki/Taiwan_News",Dalai Lama begins trip to Taiwan
https://en.wikinews.org/wiki/Jaafari_nominated_Iraq_PM,"February 12, 2006,Published,Archived,Iraq,Politics and conflicts,Elections,Middle East,Sunni Islam,Shia Islam",,"February 12, 2006",2020-04-12,"http://news.bbc.co.uk/2/hi/middle_east/4705930.stm,http://today.reuters.com/news/NewsArticle.aspx?type=worldNews&storyID=2006-02-12T175934Z_01_NUE233469_RTRUKOC_0_US-IRAQ-ALLIANCE.xml","/wiki/BBC_News_Online,/wiki/Reuters",Jaafari nominated Iraq PM
https://en.wikinews.org/wiki/K%27nesset_Member_Natan_Sharansky_resigns_from_coalition_government_to_protest_planned_Gaza_withdrawal,"May 3, 2005,Archived,Middle East,Israel,Politics and conflicts,Published,Likud,Knesset,Jerusalem,Ariel Sharon,Palestinian National Authority",,"May 3, 2005",2020-04-12,"http://www.theglobeandmail.com/servlet/ArticleNews/TPStory/LAC/20050503/ISRAEL03/TPInternational/TopStories,http://fr.jpost.com/servlet/Satellite?pagename=JPost/JPArticle/ShowFull&cid=1115086696986&p=1006953079865","https://en.wikipedia.org/wiki/The_Globe_and_Mail,https://en.wikipedia.org/wiki/The_Jerusalem_Post",K'nesset Member Natan Sharansky resigns from coalition government to protest planned Gaza withdrawal
https://en.wikinews.org/wiki/Iran_begins_10_days_of_military_exercises,"November 3, 2006,Published,Archived,Iran,United States,Middle East,Politics and conflicts,Persian Gulf,Gulf of Oman",,"November 3, 2006",2020-04-12,"http://www.guardian.co.uk/iran/story/0,,1937670,00.html,http://news.bbc.co.uk/2/hi/middle_east/6108696.stm","/wiki/The_Guardian,/wiki/BBC_News_Online",Iran begins 10 days of military exercises
https://en.wikinews.org/wiki/Bosnian_football_fan%27s_suspected_killer_escapes_police_custody,"October 10, 2009,Bosnia and Herzegovina,Published,Archived,Croatia,Politics and conflicts",,"October 10, 2009",2020-04-12,http://www.javno.com/en-world/video--oliver-knezovic-escaped-judicial-police_277391,https://en.wikipedia.org/wiki/Javno,Bosnian football fan's suspected killer escapes police custody
https://en.wikinews.org/wiki/Car_bomb_kills_11_in_Pakistan,"May 16, 2009,Asia,Politics and conflicts,Disasters and accidents,Khyber Pakhtunkhwa,Peshawar,Pakistan,Published,Archived",,"May 16, 2009",2020-04-12,"http://news.bbc.co.uk/2/hi/south_asia/8053241.stm,http://au.news.yahoo.com/a/-/world/5572365","/wiki/BBC_News_Online,https://en.wikipedia.org/wiki/Yahoo!_News",Car bomb kills 11 in Pakistan
https://en.wikinews.org/wiki/Guinea_arrests_100_soldiers_in_connection_with_attempted_assassination_of_leader,"December 11, 2009,Published,Archived,Politics and conflicts,Crime and law,Africa,Guinea",,"December 11, 2009",2020-04-12,"http://www1.voanews.com/english/news/africa/Guinea-Arrests-Soldiers-10DEC09--78963752.html,http://www.rttnews.com/ArticleView.aspx?Id=1153848&SMap=1","/wiki/VOA_News,https://en.wikipedia.org/wiki/RTT_News",Guinea arrests 100 soldiers in connection with attempted assassination of leader
https://en.wikinews.org/wiki/Explosions_near_British_consulate_in_New_York_shatter_windows,"May 5, 2005,Published,Archived,New York, New York,United Kingdom,Politics and conflicts,Michael Bloomberg,Raymond Kelly,The Times (UK),Manhattan",,"May 5, 2005",2020-04-12,"/wiki/Associated_Press,http://www.newsday.com/news/nationworld/nation/wire/sns-ap-consulate-explosion,0,1097405.story?coll=sns-ap-nation-headlines,http://news.bbc.co.uk/2/hi/americas/4516119.stm,http://www.timesonline.co.uk/article/0,,11069-1598902,00.html,http://www.bloomberg.com/apps/news?pid=10000103&sid=aAHNkLR5B8rU&refer=us,http://www.newratings.com/analyst_news/article_810232.html,/wiki/Associated_Press,http://abcnews.go.com/US/wireStory?id=732376,http://www.stuff.co.nz/stuff/0,2106,3271713a12,00.html,http://www.reuters.com/newsArticle.jhtml?type=domesticNews&storyID=8404171","https://en.wikipedia.org/wiki/Newsday,/wiki/BBC_News_Online,/wiki/Times_Online,https://en.wikipedia.org/wiki/Bloomberg,https://en.wikipedia.org/wiki/Newratings.com,/wiki/ABC_News_(US),https://en.wikipedia.org/wiki/STUFF:_WORLD_NEWS,/wiki/Reuters",Explosions near British consulate in New York shatter windows
https://en.wikinews.org/wiki/Former_New_York_City_Police_Commissioner_Bernard_Kerik_sentenced_to_four_years_in_prison,"February 18, 2010,Published,Crime and law,Politics and conflicts,New York,United States,North America,Rudy Giuliani,George W. Bush,Archived",,"February 18, 2010",2020-04-12,"http://www.cnn.com/2010/CRIME/02/18/kerik.sentence/?hpt=T2,http://www.nytimes.com/2010/02/19/nyregion/19kerik.html,http://online.wsj.com/article/BT-CO-20100218-713879.html?mod=WSJ_latestheadlines","/wiki/CNN.com,https://en.wikipedia.org/wiki/The_New_York_Times_Online,https://en.wikipedia.org/wiki/Wall_Street_Journal_Online",Former New York City Police Commissioner Bernard Kerik sentenced to four years in prison
https://en.wikinews.org/wiki/Israel_bans_two_Arab_political_parties,"January 13, 2009,Published,Middle East,Israel,Politics and conflicts,Elections,Archived",,"January 13, 2009",2020-04-12,"http://news.bbc.co.uk/2/hi/middle_east/7825032.stm,http://english.aljazeera.net/news/middleeast/2009/01/2009112165350696500.html,http://fr.jpost.com/servlet/Satellite?cid=1231760644913&pagename=JPost/JPArticle/ShowFull","/wiki/BBC_News_Online,/wiki/Al_Jazeera,https://en.wikipedia.org/wiki/The_Jerusalem_Post",Israel bans two Arab political parties
https://en.wikinews.org/wiki/Bushmen_given_10_days_to_leave_their_reserve_in_Botswana,"September 16, 2005,Published,Archived,Africa,Botswana,Crime and law,Politics and conflicts,Prostitution",,"September 16, 2005",2020-04-12,"http://www.theaustralian.news.com.au/common/story_page/0,5744,16597862%255E2703,00.html,http://www.diamonds.net/news/newsitem.asp?num=13167&type=all&topic=all","/wiki/The_Australian,https://en.wikipedia.org/wiki/Rapaport_News",Bushmen given 10 days to leave their reserve in Botswana
"https://en.wikinews.org/wiki/Collection_of_signatures_for_the_free_part_of_the_beach_in_Maiori,_Italy","July 2, 2007,Translated news,Articles with broken source templates,Published,Archived,Europe,Italy,Politics and conflicts",,"July 2, 2007",2020-04-12,"http://www.positanonews.it/menu/default.asp?id=6478,http://www.positanonews.it/menu/default.asp?id=6364","https://en.wikipedia.org/wiki/Positano_News,https://en.wikipedia.org/wiki/la_Citt%C3%A0,https://en.wikipedia.org/wiki/Positano_News,https://en.wikipedia.org/wiki/Corriere_del_Mezzogiorno_(Corriere_della_Sera)","Collection of signatures for the free part of the beach in Maiori, Italy"
